date,home_team,away_team,elo_diff,home_elo,away_elo,home_form,away_form,home_avg_goals,away_avg_goals,home_avg_conceded,away_avg_conceded,neutral,result
1993-01-28,Cameroon,Finland,43.0,1663.0,1620.0,1.3,1.0,0.75,0.6666666666666666,0.5,0.0,True,Home Win
1993-01-30,India,Cameroon,-411.0,1252.0,1663.0,0.39999999999999997,1.4,0.3333333333333333,1.0,1.0,0.4,False,Draw
1993-02-26,Algeria,Ghana,87.0,1709.0,1622.0,1.5333333333333332,1.52,2.0,2.2,0.6666666666666666,0.6,False,Home Win
1993-03-14,Honduras,Bolivia,-69.0,1515.0,1584.0,1.1599999999999997,0.32,1.8,1.4,0.8,1.6,False,Draw
1993-03-16,Honduras,Bolivia,-69.0,1515.0,1584.0,1.0333333333333332,0.3333333333333333,1.5,1.1666666666666667,0.6666666666666666,1.3333333333333333,False,Draw
1993-03-31,Poland,Lithuania,439.0,1797.0,1358.0,0.4,0.5499999999999999,0.6666666666666666,1.0,0.6666666666666666,2.75,False,Draw
1993-04-03,Niger,Benin,53.0,1307.0,1254.0,1.0,1.0,0.6666666666666666,0.3333333333333333,2.0,3.3333333333333335,False,Draw
1993-04-04,Honduras,Canada,-41.0,1515.0,1556.0,0.975,0.8000000000000002,1.625,1.0,0.625,0.6666666666666666,False,Draw
1993-04-08,Japan,Thailand,106.0,1460.0,1354.0,0.7333333333333333,0.75,1.3333333333333333,0.75,1.0,1.5,False,Home Win
1993-04-10,Zambia,Zimbabwe,74.0,1588.0,1514.0,2.25,2.3333333333333335,2.5,1.6666666666666667,0.75,1.0,False,Draw
1993-04-11,Gabon,Benin,189.0,1443.0,1254.0,0.35,0.85,1.0,0.75,1.5,3.0,False,Home Win
1993-04-11,Mexico,Honduras,299.0,1814.0,1515.0,0.1,0.9777777777777776,0.5,1.6666666666666667,1.75,0.7777777777777778,False,Home Win
1993-04-11,Niger,Cameroon,-356.0,1307.0,1663.0,0.85,1.2285714285714284,1.0,1.0,2.0,0.5714285714285714,False,Draw
